yr,sex,FirstForename,number,rank,position
2010,B,Jack,644,1,    1
2010,B,Lewis,566,2,    2
2010,B,James,459,3,    3
2010,B,Logan,443,4,    4
2010,B,Daniel,416,5,    5
2010,B,Ryan,407,6,    6
2010,B,Aaron,379,7,    7
2010,B,Oliver,371,8,    8
2010,B,Liam,366,9,    9
2010,B,Jamie,358,10,   10
2010,B,Ethan,334,11,   11
2010,B,Alexander,330,12,   12
2010,B,Cameron,328,13,   13
2010,B,Finlay,307,14,   14=
2010,B,Kyle,307,14,   14=
2010,B,Adam,303,16,   16=
2010,B,Harry,303,16,   16=
2010,B,Matthew,303,16,   16=
2010,B,Callum,301,19,   19
2010,B,Lucas,298,20,   20
2010,B,Nathan,289,21,   21
2010,B,Aiden,288,22,   22
2010,B,Dylan,285,23,   23
2010,B,Charlie,281,24,   24
2010,B,Connor,267,25,   25
2010,B,Thomas,262,26,   26
2010,B,Alfie,245,27,   27
2010,B,Joshua,229,28,   28
2010,B,William,222,29,   29
2010,B,Jayden,213,30,   30
2010,B,Andrew,212,31,   31=
2010,B,Kai,212,31,   31=
2010,B,Max,206,33,   33
2010,B,Ben,190,34,   34
2010,B,Samuel,188,35,   35
2010,B,Luke,182,36,   36
2010,B,Tyler,179,37,   37
2010,B,Rory,178,38,   38
2010,B,David,175,39,   39=
2010,B,Michael,175,39,   39=
2010,B,Riley,175,39,   39=
2010,B,Noah,169,42,   42
2010,B,Cole,164,43,   43
2010,B,Joseph,160,44,   44
2010,B,John,158,45,   45
2010,B,Archie,156,46,   46=
2010,B,Jacob,156,46,   46=
2010,B,Fraser,155,48,   48
2010,B,Rhys,152,49,   49=
2010,B,Ross,152,49,   49=
2010,B,Calum,145,51,   51=
2010,B,Jay,145,51,   51=
2010,B,Josh,142,53,   53
2010,B,Euan,140,54,   54
2010,B,Mason,139,55,   55=
2010,B,Owen,139,55,   55=
2010,B,Sam,138,57,   57
2010,B,Leo,136,58,   58
2010,B,Robert,135,59,   59
2010,B,Scott,134,60,   60
2010,B,Leon,127,61,   61=
2010,B,Robbie,127,61,   61=
2010,B,Benjamin,126,63,   63
2010,B,Caleb,125,64,   64=
2010,B,Oscar,125,64,   64=
2010,B,Harris,121,66,   66
2010,B,Murray,117,67,   67
2010,B,Sean,114,68,   68
2010,B,Christopher,111,69,   69
2010,B,Kieran,104,70,   70
2010,B,Aidan,103,71,   71=
2010,B,Jake,103,71,   71=
2010,B,Evan,102,73,   73
2010,B,Kayden,101,74,   74
2010,B,Arran,99,75,   75
2010,B,Angus,98,76,   76=
2010,B,Brodie,98,76,   76=
2010,B,Ewan,96,78,   78
2010,B,Muhammad,94,79,   79
2010,B,Alex,93,80,   80
2010,B,Declan,92,81,   81
2010,B,Finn,91,82,   82
2010,B,Blair,90,83,   83
2010,B,Ollie,89,84,   84
2010,B,Reece,88,85,   85
2010,B,Corey,85,86,   86
2010,B,Kian,83,87,   87
2010,B,Harrison,77,88,   88
2010,B,Taylor,74,89,   89
2010,B,Kaiden,73,90,   90=
2010,B,Kenzie,73,90,   90=
2010,B,Cody,72,92,   92=
2010,B,Craig,72,92,   92=
2010,B,Mohammed,72,92,   92=
2010,B,Calvin,71,95,   95
2010,B,Mark,70,96,   96
2010,B,Jude,69,97,   97
2010,B,Luca,68,98,   98
2010,B,Ciaran,67,99,   99=
2010,B,George,67,99,   99=
2011,B,Jack,650,1,    1
2011,B,Lewis,498,2,    2
2011,B,James,480,3,    3
2011,B,Daniel,391,4,    4=
2011,B,Ethan,391,4,    4=
2011,B,Logan,386,6,    6
2011,B,Alexander,346,7,    7
2011,B,Harry,345,8,    8
2011,B,Ryan,343,9,    9
2011,B,Oliver,341,10,   10
2011,B,Aaron,331,11,   11
2011,B,Cameron,321,12,   12
2011,B,Lucas,318,13,   13
2011,B,Riley,306,14,   14
2011,B,Matthew,305,15,   15
2011,B,Callum,299,16,   16
2011,B,Charlie,293,17,   17
2011,B,Adam,288,18,   18
2011,B,Finlay,281,19,   19
2011,B,Aiden,279,20,   20
2011,B,Dylan,278,21,   21
2011,B,Jamie,274,22,   22
2011,B,Alfie,270,23,   23
2011,B,Kyle,266,24,   24
2011,B,Liam,265,25,   25
2011,B,Max,260,26,   26
2011,B,Thomas,257,27,   27
2011,B,Nathan,253,28,   28
2011,B,Connor,238,29,   29
2011,B,Jayden,227,30,   30
2011,B,Mason,217,31,   31
2011,B,Joshua,211,32,   32=
2011,B,Tyler,211,32,   32=
2011,B,Rory,205,34,   34
2011,B,Andrew,204,35,   35
2011,B,Jacob,203,36,   36
2011,B,William,201,37,   37
2011,B,Noah,198,38,   38
2011,B,Kai,194,39,   39
2011,B,Leo,193,40,   40
2011,B,Archie,188,41,   41
2011,B,Michael,176,42,   42
2011,B,John,175,43,   43
2011,B,Samuel,174,44,   44
2011,B,Ben,173,45,   45
2011,B,Luke,172,46,   46
2011,B,Jay,164,47,   47
2011,B,Cole,162,48,   48
2011,B,Harris,160,49,   49
2011,B,David,158,50,   50
2011,B,Caleb,148,51,   51
2011,B,Benjamin,141,52,   52
2011,B,Fraser,139,53,   53
2011,B,Joseph,136,54,   54
2011,B,Jake,134,55,   55=
2011,B,Leon,134,55,   55=
2011,B,Rhys,134,55,   55=
2011,B,Aidan,131,58,   58
2011,B,Josh,130,59,   59=
2011,B,Owen,130,59,   59=
2011,B,Robert,129,61,   61
2011,B,Euan,128,62,   62
2011,B,Kayden,125,63,   63
2011,B,Sam,123,64,   64
2011,B,Robbie,119,65,   65
2011,B,Calum,118,66,   66
2011,B,Arran,114,67,   67
2011,B,Oscar,111,68,   68
2011,B,Christopher,110,69,   69
2011,B,Scott,109,70,   70
2011,B,Brodie,108,71,   71
2011,B,Angus,107,72,   72
2011,B,Harrison,106,73,   73
2011,B,Murray,104,74,   74
2011,B,Reece,98,75,   75
2011,B,Kaiden,96,76,   76=
2011,B,Muhammad,96,76,   76=
2011,B,Ewan,95,78,   78
2011,B,Finn,94,79,   79=
2011,B,Ross,94,79,   79=
2011,B,Sean,89,81,   81
2011,B,Ollie,88,82,   82
2011,B,Kieran,87,83,   83
2011,B,Blair,83,84,   84
2011,B,Evan,82,85,   85
2011,B,Jude,81,86,   86
2011,B,Ruaridh,78,87,   87
2011,B,Kian,77,88,   88
2011,B,Isaac,75,89,   89=
2011,B,Mark,75,89,   89=
2011,B,Taylor,75,89,   89=
2011,B,Mohammed,73,92,   92
2011,B,Cody,72,93,   93=
2011,B,Corey,72,93,   93=
2011,B,Declan,71,95,   95=
2011,B,Lennon,71,95,   95=
2011,B,Cooper,70,97,   97=
2011,B,Luca,70,97,   97=
2011,B,Hamish,68,99,   99=
2011,B,Jackson,68,99,   99=
2011,B,Zak,68,99,   99=
2012,B,Jack,539,1,    1
2012,B,Lewis,438,2,    2
2012,B,James,428,3,    3
2012,B,Riley,418,4,    4
2012,B,Logan,392,5,    5
2012,B,Daniel,384,6,    6
2012,B,Ethan,352,7,    7
2012,B,Harry,331,8,    8
2012,B,Alexander,327,9,    9
2012,B,Oliver,311,10,   10
2012,B,Max,306,11,   11
2012,B,Charlie,298,12,   12
2012,B,Finlay,296,13,   13=
2012,B,Tyler,296,13,   13=
2012,B,Aaron,295,15,   15
2012,B,Adam,291,16,   16
2012,B,Mason,287,17,   17
2012,B,Alfie,284,18,   18
2012,B,Ryan,278,19,   19
2012,B,Liam,271,20,   20=
2012,B,Lucas,271,20,   20=
2012,B,Jamie,266,22,   22
2012,B,Thomas,265,23,   23
2012,B,Callum,259,24,   24
2012,B,Cameron,258,25,   25
2012,B,Dylan,252,26,   26
2012,B,Kyle,249,27,   27
2012,B,Harris,242,28,   28
2012,B,Matthew,240,29,   29=
2012,B,Noah,240,29,   29=
2012,B,Rory,233,31,   31
2012,B,Connor,225,32,   32=
2012,B,Joshua,225,32,   32=
